id130,title,rank,province,alt,modern,description,country,batlas,awmc,dare,darmc,hanson,orbis,PECS,pleiades,topostext,TTPlace,trismegistos,vici,wikidata,wikipedia:en,start,latlon,lon,lat
4083,Paradeisos,8,Syria,(Tri)Paradeisos,,"An ancient place, cited: BAtlas 68 C5 (Tri)Paradeisos",Syria,68 C5,165304,33242,20182,,,,668393,,,,,21406713,,-330,"34.443566,36.594978",36.594978,34.443566
4084,Parammon,8,,[*Parammon]?,,"An ancient place, cited: BAtlas 79 D3 [*Parammon]?",Egypt,79 D3,143854,30563,24135,,,,776213,,,,,14218427,,-30,"25.4145723865,30.5354081839",30.5354081839,25.4145723865
4085,Paramythia,8,Epirus,,,"An ancient place, cited: BAtlas 54 C3 Paramythia",Greece,54 C3,143557,21996,24136,,,,531044,395205XPar,,,,673970,Paramythia,-750,"39.4755555,20.5220935",20.5220935,39.4755555
4086,Parapotamioi,8,Achaia,,Belesi,"According to Strabo, Parapotamioi ""is a settlement on the Cephissus River near Phanoteus and Chaeroneia and Elateia"".",Greece,55 D3,149776,29427,24137,,,,541011,386228PPar,,,,15674594,,-750,"38.551148,22.817862",22.817862,38.551148
4087,Paratianis,8,Africa Proconsularis,,,"An ancient place, cited: BAtlas 31 G3 Paratianis",Algeria,31 G3,134328,23761,24138,,,,305128,,31,,3274,,,-30,"36.91671,7.156637",7.156637,36.91671
4088,Parnassos,8,Galatia et Cappadocia,,,"An ancient place, cited: BAtlas 63 D2 Parnassos",Türkiye,63 D2,159275,23564,10600,,,,619235,,,,29819,104098832,,-330,"38.9918185,33.570111",33.570111,38.9918185
4089,Paroria,8,Achaia,,,"An ancient place, cited: BAtlas 58 C3 Paroria",Greece,58 C3,134977,31036,20183,,,,570562,375221UPar,,,,3605950,,,"37.484682,22.139365",22.139365,37.484682
4090,Parra,8,Italia,,,"An ancient place, cited: BAtlas 39 F2 Parra",Italy,39 F2,153205,17999,15449,,,,383739,,,,,101364,,-750,"45.872575,9.887912",9.887912,45.872575
4091,Parthenia,8,Bithynia et Pontus,,,"An ancient place, cited: BAtlas 86 C2 Parthenia",Türkiye,86 C2,161653,27525,24143,,,,845035,,,,22828,103774332,,-30,"41.631543,32.33898",32.33898,41.631543
4092,Parthenicum,8,Sicilia,,,"Ancient settlement on the north-west side of Sicily, thought to be in the area of modern Partinico, near Palermo.",Italy,47 C2,166028,30224,28733,,,,462413,,,,59240,490863,,-30,"38.044987,13.12095",13.12095,38.044987
4093,Parthenion,8,Achaia,,,"An ancient place, cited: BAtlas 55 F4 Parthenion",Greece,55 F4,157893,29428,15451,,,,541013,385240PPar,,,,108722040,,-550,"38.460835,23.963266",23.963266,38.460835
4094,Parthenion,8,Asia,,,"A settlement attested in ancient sources, that was probably located along the modern Ilias Çay in Turkey, downstream from the modern Yortanlı dam.",Türkiye,56 E3,145486,27340,15453,,,,550804,,,,34755,17624564,,-550,"39.218103,27.335098",27.335098,39.218103
4095,Parthikopolis,8,Macedonia,Paroikopolis,,"An ancient place, cited: BAtlas 50 D1 Paroikopolis/Parthikopolis",Bulgaria,50 D1,147043,22700,34158,,,,491683,416233UPar,,,,140130,Paroecopolis,-330,"41.561119,23.277848",23.277848,41.561119
4096,Partiskon,8,,,,"An ancient place, cited: BAtlas 21 C3 Partiskon",Hungary,21 C3,160708,17975,20186,,,,207331,,,,13256,1735425,,-30,"46.253698,20.145953",20.145953,46.253698
4097,Pasanda,8,Asia,,Gökbel,"An ancient place, cited: BAtlas 65 A4 Pasanda",Türkiye,65 A4,146328,27789,15454,,,,639040,368287UPas,,,,17462683,,-550,"36.7810675,28.6928795",28.6928795,36.7810675
4098,Pasargadae,8,,Batrakatash,Pasargad,Pasargadae/Batrakatash was an ancient Persian city and the capital of Cyrus the Great (559–530 BC). It remained the capital until Cambyses II moved it to Susa. The site is listed as a UNESCO World Heritage Site.,Iran,94 D3,162901,22309,10913,,,,922693,302532UPas,,,11306,230025,Pasargadae,-550,"30.191851725,53.171660775",53.171660775,30.191851725
4099,Passala,8,Asia,,,"An ancient place, cited: BAtlas 61 F3 Passala",Türkiye,61 F3,157809,29027,24144,,,,599870,373276UPas,,,,65068769,,-30,"37.250317,27.649641",27.649641,37.250317
4100,Patrasys,8,,,,"An ancient place, cited: BAtlas 87 L2 Patrasys",Russia,87 L2,147415,22016,15471,,,,854723,,,,,,,-550,"45.311415,36.850141",36.850141,45.311415
4101,Patulus Portus,8,Lusitania,,,"An ancient place, cited: BAtlas 26 B4 Patulus Portus",Portugal,26 B4,144072,31303,29912,,,,256357,,,,15147,,,-330,"37.833556,-8.797667",-8.797667,37.833556
4102,Paua,8,Aegyptus,,,"An ancient place, cited: BAtlas 74 D2 Paua",Egypt,74 D2,161311,28502,24153,,,,727188,,,3648,,107310532,,-330,"31.205016,30.550273",30.550273,31.205016
4103,Pauka,8,Sardinia et Corsica,,,"An ancient place, cited: BAtlas 48 C3 Pauka",France,48 C3,156089,31224,29849,,,,472111,,,,,100275072,,-330,"41.711504,8.799868",8.799868,41.711504
4104,Pdgila,8,Aegyptus,Phthla,,"An ancient place, cited: BAtlas 77 E3 Phthla/Pdgila",Egypt,77 E3,151051,28722,24269,,,,756622,,,,,,,-30,"26.919206,31.40847",31.40847,26.919206
4105,Pedachthoe,8,Galatia et Cappadocia,Herakleioupolis,,"An ancient place, cited: BAtlas 87 B4 Pedachthoe/Herakleioupolis",Türkiye,87 B4,147484,27830,20188,,,,857266,,,,,,,-30,"40.108667,36.875022",36.875022,40.108667
4106,Pedaia,8,Galatia et Cappadocia,*Pedaia,,"An ancient place, cited: BAtlas 65 G2 *Pedaia",Türkiye,65 G2,136796,27790,20189,,,,639043,,,,,20101444,,-30,"37.634612,31.873662",31.873662,37.634612
4107,Pedum,8,Italia,,,"Pedum was an ancient city of Latium that was part of the Latin League. Located between Tibur and Praeneste, its precise location is now unknown. Some suggest that modern Gallicano is the site of the ancient city.",Italy,44,155649,,,,,,438803,410128UPed,,,,19760797,,-750,"41.8811019381,12.7953454646",12.7953454646,41.8811019381
4108,Pedum,8,Italia,Pedum?,,"An ancient place, cited: BAtlas 43 D2 Pedum?",Italy,43 D2,156712,33644,28738,,,,422997,,,,,105808821,,-750,"41.910022,12.736281",12.736281,41.910022
4109,Peenameus,8,Aegyptus,,,"An ancient place, cited: BAtlas 75 D2 Peenameus",Egypt,75 D2,157694,28593,24162,,,,736995,,,,,,,-330,"29.055833,30.904722",30.904722,29.055833
4110,Peentalis,8,Aegyptus,,,"An ancient place, cited: BAtlas 75 D4 Peentalis",Egypt,75 D4,143039,28594,24163,,,,736996,,,,,,,-330,"28.113288,30.699977",30.699977,28.113288
4111,Pege Sykaminia,8,,Pege Sykaminia?,,"An ancient place, cited: BAtlas 79 D4 Pege Sykaminia?",Egypt,79 D4,149975,30564,24164,,,,776214,,,,,,,-30,"24.502678,30.612945",30.612945,24.502678
4112,Pela,8,Aegyptus,,,"An ancient place, cited: BAtlas 75 D4 Pela",Egypt,75 D4,147538,28595,24165,,,,736997,,,,,12397449,,-330,"28.470193,30.663126",30.663126,28.470193
4113,Pele,8,Asia,,,"An ancient place, cited: BAtlas 61 E4 Pele",Greece,61 E4,157810,29030,24167,,,,599876,368271UPel,,,,1133063,,-330,"36.839923,27.142558",27.142558,36.839923
4114,Pelekes,8,Achaia,Pelekes?,,"An ancient place, cited: BAtlas 59 B2 Pelekes?",Greece,59 B2,162487,31171,31587,,,,580063,381237DPel,,,,13465179,,-550,"38.117633,23.6731985",23.6731985,38.117633
4115,Pelkis,8,Creta et Cyrenaica,Pelkis?,,"An ancient place, cited: BAtlas 60 A2 Pelkis?",Greece,60 A2,134424,28829,24173,,,,589983,353237UPel,,,,65078132,,-550,"35.273199,23.666588",23.666588,35.273199
4116,Pellana,8,Achaia,,Kalyvia Georgitsi,"An ancient place, cited: BAtlas 58 C3 Pellana",Greece,58 C3,142020,22271,24174,,,,570575,372223PPel,,,26282,56399014,,-750,"37.2077770117,22.3251813287",22.3251813287,37.2077770117
4117,Pelleta,8,Syria,"Tell Soukas, Pelleta?",,"An ancient place, cited: BAtlas 68 A3 Tell Soukas/Pelleta?",Syria,68 A3,160027,33240,25059,,,,668383,,,,,,,-750,"35.298878,35.925913",35.925913,35.298878
4118,Peme,8,Aegyptus,Hypsele,,"An ancient place, cited: BAtlas 75 E1 Peme/Hypsele",Egypt,75 E1,137775,23391,24178,,,,736998,295312UPem,424,,3420,,,-330,"29.586777,31.237597",31.237597,29.586777
4119,Pennocrucium,8,Britannia,,,"An ancient place, cited: BAtlas 8 E2 Pennocrucium",United Kingdom,8 E2,142409,23034,13424,,,pennocrucium,79638,,,,,1752169,Pennocrucium,-30,"52.72389,-2.115899",-2.115899,52.72389
4120,Pentele,8,Achaia,,,"An ancient place, cited: BAtlas 59 C2 Pentele",Greece,59 C2,148050,31172,31313,,,,580064,381239UPen,,,,17584235,,-550,"38.076572,23.871705",23.871705,38.076572
4121,Pentephyle,8,Bithynia et Pontus,*Triknaita,,"An ancient place, cited: BAtlas 52 F3 Pentephyle/*Triknaita",Türkiye,52 F3,134056,31415,15501,,,,511356,,,,,,,-30,"40.966819,30.003834",30.003834,40.966819
4122,Pepouza,8,Asia,,,"An ancient place, cited: BAtlas 62 unlocated Pepouza",Türkiye,62,165759,,,,,,614797,,,,,108228988,,-30,"38.408056,29.461389",29.461389,38.408056
4123,Perdikiai,8,Lycia et Pamphylia,Artymnissos,,"An ancient place, cited: BAtlas 65 B5 Artymnissos/Perdikiai",Türkiye,65 B5,155309,27706,21517,,,,638767,,,,,,,-330,"36.502931,29.129566",29.129566,36.502931
4124,Pereia,8,Achaia,,,"An ancient place, cited: BAtlas 55 D2 Pereia",Greece,55 D2,162030,29431,24186,,,,541025,391226UPer,,,33260,60790570,,-750,"39.141135,22.555166",22.555166,39.141135
4125,Peretnouis,8,Aegyptus,Pheretnouis,,"An ancient place, cited: BAtlas 75 D4 Peretnouis/Pheretnouis",Egypt,75 D4,134406,28596,24187,,,,737000,,,,,,,-30,"28.43333,30.733332",30.733332,28.43333
4126,Pereudos,8,Asia,"Emoddi, *Pereudos",,"An ancient place, cited: BAtlas 62 A4 Emoddi/*Pereudos",Türkiye,62 A4,147964,30863,22340,,,,609373,,,,34772,,,-330,"38.673395,28.579284",28.579284,38.673395
4127,Pergamos,8,Creta et Cyrenaica,Pergamos?,Ag. Eirini,"An ancient place, cited: BAtlas 60 A1 Pergamos?",Greece,60 A1,146843,28830,15477,,,,589984,355238UPer,,,,65074842,,-750,"35.531102,23.774253",23.774253,35.531102
4128,Pergase Hypenerthen,8,Achaia,,,"An ancient place, cited: BAtlas 59 C2 Pergase Hypenerthen",Greece,59 C2,162488,31173,31599,,,,580066,381238DPrh,,,,18015504,,-550,"38.094782,23.79369",23.79369,38.094782
4129,Pergase Kathyperthen,8,Achaia,,,"An ancient place, cited: BAtlas 59 C2 Pergase Kathyperthen",Greece,59 C2,134748,31174,31598,,,,580067,381238DPrk,,,,13416291,,-550,"38.097335,23.789785",23.789785,38.097335
4130,Pericharaxis,8,Asia,,,"An ancient place, cited: BAtlas 56 F2 Pericharaxis",Türkiye,56 F2,137525,27342,24188,,,,550813,,,,60041,12883418,,-550,"39.765088,27.641936",27.641936,39.765088
4131,Perithoidai,8,Achaia,,,"An ancient place, cited: BAtlas 59 B3 Perithoidai",Greece,59 B3,164539,31175,32737,,,,580068,380237DPer,,,,13427357,,-550,"37.995961,23.677348",23.677348,37.995961
4132,Perminounda,8,Lycia et Pamphylia,*Perminounda,,"An ancient place, cited: BAtlas 65 D3 *Perminounda",Türkiye,65 D3,147477,27791,20193,,,,639049,,,,,65122846,,-30,"37.327588,30.446562",30.446562,37.327588
4133,Perniciacum,8,Germania Inferior,Perniciacum?,,"An ancient place, cited: BAtlas 11 F2 Perniciacum?",Belgium,11 F2,166099,2063,24192,,,braives,109245,506051UPer,590,,2550,2133352,,-30,"50.628114,5.144889",5.144889,50.628114
4134,Peroz-Shapur,8,,"Misiche, Anbar, Pumbedita, Pallughtha",,"An ancient place, cited: BAtlas 91 E4 Misiche/Peroz-Shapur/Anbar/Pumbedita/Pallughtha",Iraq,91 E4,135248,22338,32448,,,,894043,,,,27841,2829204,Battle_of_Misiche,-30,"33.378611,43.715833",43.715833,33.378611
4135,Peroz-Shapur,8,,"Fesh-Khabur, Peroz-Shapur?",,"An ancient place, cited: BAtlas 89 E3 Fesh-Khabur/Peroz-Shapur?",Iraq,89 E3,146583,32753,32555,,,,874472,,,,34882,,,-30,"37.10935,42.390333",42.390333,37.10935
4136,Perperene,8,Asia,Theodosiopolis,,"An ancient place, cited: BAtlas 56 D3 Perperene/Theodosiopolis",Türkiye,56 D3,163660,24877,24196,,,,550814,392270UPer,,,,7169524,,-550,"39.240505,26.962332",26.962332,39.240505
4137,Perraibia,8,Achaia,,,"An ancient place, cited: BAtlas 55 B1 Perraibia",Greece,55 B1,162036,,,,,,541027,398232RPer,,,,7169613,,,"39.75,21.75",21.75,39.75
4138,Perre,8,Syria,,,"An ancient place, cited: BAtlas 67 G1 Perre",Türkiye,67 G1,163014,30143,13426,,,,658568,378383UPer,2563,,,113754499,,-30,"37.778243,38.2865415",38.2865415,37.778243
4139,Persepolis,8,,"Parsa, Persai, Sat Setun",Persepolis,Persepolis/Parsa/Persai/Sat Setun was the ceremonial capital of the Achaemenid Empire. The origins of the settlement belong to the sixth century BC (ca. 515). The archaeological site was named as a UNESCO World Heritage Site in 1979.,Iran,94 C4,159607,22222,32194,,,,922695,299529PPer,2779,,2956,129072,Persepolis,-550,"29.9353403333,52.889437",52.889437,29.9353403333
4140,Persou,8,Aegyptus,,,"Persou was the site of major mining and quarrying operations in the ancient world. The site is mentioned in the Turin Papyrus Map, in connection with a quarrying expedition under Ramesses IV.",Egypt,80 D2,141876,42461,15492,,,,786087,,,,,,,-330,"25.969105,33.608894",33.608894,25.969105
4141,Persou,8,Aegyptus,,,"An ancient place, cited: BAtlas 80 D1 Persou",Egypt,80 D1,139565,38072,,,,,786086,,,,,,,-330,"25.950983,33.568897",33.568897,25.950983
4142,Perta,8,Galatia et Cappadocia,,,"An ancient place, cited: BAtlas 63 C4 Perta",Türkiye,63 C4,147054,23572,24197,,,,619237,382331UPer,2316,,,85792890,,-30,"38.167719,33.076657",33.076657,38.167719
4143,Pescla Ano,8,Aegyptus,Pes(c)la Ano,,"An ancient place, cited: BAtlas 77 D1 Pes(c)la Ano",Egypt,77 D1,135285,28721,24201,,,,756621,,,,,123524,,-30,"27.626059,30.875742",30.875742,27.626059
4144,Petemout,8,Aegyptus,Kerameia?,,"An ancient place, cited: BAtlas 80 B2 Petemout/Kerameia?",Egypt,80 B2,147876,30597,24204,,,,786088,,,1281,,3517593,,-750,"25.705501,32.704914",32.704914,25.705501
4145,Peteon,8,Achaia,,,"An ancient place, cited: BAtlas 55 E4 Peteon",Greece,55 E4,143521,29433,24205,,,,541028,384234UPet,,,,12883430,,-750,"38.443961,23.412119",23.412119,38.443961
4146,Petne,8,Aegyptus,,,"An ancient place, cited: BAtlas 75 D3 Petne",Egypt,75 D3,141498,28598,24207,,,,737002,,,,,,,-30,"28.661106,30.816665",30.816665,28.661106
4147,Petra,8,Asia,,,"An ancient coastal settlement on the island of Lesbos, situated around and atop a volcanic neck.",Greece,56 C3,134231,,,,,,550816,,,,,,,-30,"39.327613,26.1761751",26.1761751,39.327613
4148,Petrinus Vicus,8,Italia,,,"An ancient place, cited: BAtlas 44 unlocated Petrinus Vicus?",Italy,44,141637,,,,,,438804,,,,,110117328,,-330,"41.808973,12.69699",12.69699,41.808973
4149,Petris,8,Dacia,‘Petris’,,"An ancient place, cited: BAtlas 21 F4 ‘Petris’",Romania,21 F4,160809,23235,34721,,,,207340,,1742,,3285,107444869,,-30,"45.864378,23.032229",23.032229,45.864378
4150,Petromantulum,8,Gallia Lugdunensis,"Petromantulum?, Petromantalum?, Petrum Viaco",,"An ancient settlement or road station, attested by the Antonine Itineraries and the Peutinger Map, whose precise location is uncertain (BAtlas 11 unlocated Petromantulum/Petrum Viaco).",France,11,138665,2037,,,,petromantalum,114789,,623,,2573,752225,,-30,"49.120178,1.771454",1.771454,49.120178
4151,Petrozetoi,8,Bithynia et Pontus,,,"An ancient place, cited: BAtlas 52 F3 Petrozetoi",Türkiye,52 F3,142129,31416,15503,,,,511358,,,,,65046416,,-30,"40.89809,29.88112",29.88112,40.89809
4152,Peumata,8,Achaia,Peuma(ta),Kallithea,"An ancient place, cited: BAtlas 55 D2 Peuma(ta)",Greece,55 D2,143172,29434,24213,,,,541030,392225UPeu,,,,17624989,,-750,"39.2010124289,22.5321047663",22.5321047663,39.2010124289
4153,Phadisane,8,,Phabda,,"An ancient place, cited: BAtlas 87 C3 Phabda/Phadisane",Türkiye,87 C3,165643,23451,24214,,,,857269,,,,,,,-30,"41.043152,37.49295",37.49295,41.043152
4154,Phaika,8,Achaia,,,"An ancient place, cited: BAtlas 55 B1 Phaika",Greece,55 B1,139373,29435,24216,,,,541031,395216UPha,,,,60790443,,-330,"39.525205,21.628214",21.628214,39.525205
4155,Phaine,8,Syria,,,"An ancient place, cited: BAtlas 69 D3 Phaine",Syria,69 D3,148653,23429,28748,,,,678328,,,,,,,-30,"33.1311392,36.38735465",36.38735465,33.1311392
4156,Phaino,8,Arabia Petraea,,,"An ancient place, cited: BAtlas 71 A4 Phaino",Jordan,71 A4,152757,25165,,,,,697726,,,,30894,2907858,Punon,-30,"30.627038,35.489119",35.489119,30.627038
4157,Phaistinos,8,Achaia,,,"An ancient place, cited: BAtlas 55 C4 Phaistinos",Greece,55 C4,164155,22829,20195,,,,541032,384223UPha,,,,60790441,,-550,"38.372633,22.253759",22.253759,38.372633
4158,Phaistos,8,Creta et Cyrenaica,,Agios Ioanis,"An ancient settlement on Crete where occupation began ca. 3000 B.C., Phaistos was a major center of the Minoan civilization and continued to be a Greek city of the first millennium B.C.",Greece,60 C2,155562,28831,24217,,,phaistos,589987,351248PPha,,,11314,249707,2148334,-2000,"35.051127,24.814575",24.814575,35.051127
4159,Phakos,8,Macedonia,,,"An ancient place, cited: BAtlas 50 C3 Phakos",Greece,50 C3,136106,32149,24218,,,,491694,408225UPha,,,,107038855,,-330,"40.755214,22.504667",22.504667,40.755214
4160,Phakoussa,8,Aegyptus,,,The modern city of Faqous in the southeastern portion of the Nile delta is thought to have been built atop an ancient city known to the Greeks as Phakoussa. Strabo identifies it as the terminus of an ancient canal connecting to the Red Sea.,Egypt,74 F3,161849,23392,24219,,,,727194,307316UPha,429,1729,3479,1658087,,-330,"30.7269852,31.7973907",31.7973907,30.7269852
4161,Phalacrinae,8,Italia,,,A Roman town in which the emperor Vespasian was born in A.D. 9.,Italy,42 E3,135071,23221,28749,,,,413251,,1188,,1683,224043,Falacrine,-30,"42.617277,13.158724",13.158724,42.617277
4162,Phalaisiai,8,Achaia,,Boura,"An ancient place, cited: BAtlas 58 C3 Phalaisiai",Greece,58 C3,151564,31041,24220,,,,570587,373222UPha,,,,60791911,,-550,"37.288997,22.171428",22.171428,37.288997
4163,Phalara,8,Achaia,,,"An ancient place, cited: BAtlas 55 D3 Phalara",Greece,55 D3,153693,23302,24222,,,,541034,389226UPha,1870,,3143,56292782,,-550,"38.9137916,22.62257245",22.62257245,38.9137916
4164,Phalika,8,Achaia,Phalika?,,"An ancient place, cited: BAtlas 55 C4 Phalika?",Greece,55 C4,133954,29436,15494,,,,541037,385222UPha,,,,,,-550,"38.491628,22.219",22.219,38.491628
4165,Phaloreia,8,Achaia,Phaloreia?,,"An ancient place, cited: BAtlas 55 B1 Phaloreia?",Greece,55 B1,137339,29437,24224,,,,541038,398215UPha,,,,12885716,,-550,"39.846628,21.522324",21.522324,39.846628
4166,Phanagoreia,8,,Phanagor(e)ia,Sennoy,A colony founded by Teos on the Gulf of Taman ca. 540 BC.,Russia,87 L2,137055,22018,24225,,,phanagoria,854724,453370PPha,2824,,,1344411,Phanagoria,-750,"45.27460525,36.97245025",36.97245025,45.27460525
4167,Phara,8,Achaia,Phara(i),,"Phara(i) was an ancient settlement of western Achaea, located west of the Peirus river.",Greece,58 B1,160002,31042,15498,,,,570590,381217PPha,,,,3562963,,-750,"38.093144,21.717095",21.717095,38.093144
4168,Pharan,8,Arabia Petraea,,,"An ancient place, cited: BAtlas 76 D4 Pharan",Egypt,76 D4,143068,23395,13429,,,,746792,287336UPha,450,,3286,1602598,,-30,"28.717525,33.609633",33.609633,28.717525
4169,Pharax,8,Cilicia,,,"An ancient place, cited: BAtlas 66 B3 Pharax",Türkiye,66 B3,147049,30315,11900,,,,648735,,,,34713,,,-30,"36.631602,32.624187",32.624187,36.631602
4170,Pharbaithos,8,Aegyptus,,,"An ancient place, cited: BAtlas 74 F3 Pharbaithos",Egypt,74 F3,163917,28503,24230,,,,727196,307316UPhb,,1751,,,,-750,"30.734257,31.620556",31.620556,30.734257
4171,Pharis,8,Achaia,,,Pharis or Phare was an ancient site in Laconia located in the Spartan plain along the route leading from Amyclae to the coast.,Greece,58 C3,150139,31043,20196,,,,570591,370223UPha,,,,16566337,,-750,"37.029321,22.2805645",22.2805645,37.029321
4172,Pharkadon,8,Achaia,,,"An ancient place, cited: BAtlas 55 C1 Pharkadon",Greece,55 C1,162275,22806,15499,,,pharkadon,541041,396220PPha,,,33404,16566331,,-550,"39.5679935,22.00854075",22.00854075,39.5679935
4173,Pharmakia,8,Thracia,Therapeia,,"An ancient place, cited: BAtlas 53 B2 Pharmakia/Therapeia",Türkiye,53 B2,162558,31491,34116,,,,521113,,,,,,,-30,"41.133339,29.049999",29.049999,41.133339
4174,Pharus,8,Dalmatia,,,"Pharus (Stari Grad, Croatia) is a fourth century BC Greek colonial foundation on Pharus Ins. in the Adriatic Sea.",Croatia,20 D6,150478,17955,24232,,,,197433,432166UPha,,,20880,220383,Stari_Grad_Plain,-550,"43.184286,16.601041",16.601041,43.184286
4175,Phayttos,8,Achaia,,,"An ancient settlement of Thessaly, located at modern Zarko/Zarkos in Greece.",Greece,55 C1,134503,29439,24234,,,,541043,396222UPha,,,,60790532,,-750,"39.6075141033,22.1278650025",22.1278650025,39.6075141033
4176,Phebichis,8,Aegyptus,,,"An ancient place, cited: BAtlas 75 D3 Phebichis",Egypt,75 D3,139215,28600,24235,,,,737005,,,2989,,,,-330,"28.819983,30.889994",30.889994,28.819983
4177,Phegaia,8,Achaia,,Ierotsakouli,"An ancient place, cited: BAtlas 59 C2 Phegaia",Greece,59 C2,164541,31177,31315,,,,580074,381240DPhe,,,,13526159,,-550,"38.0698,23.971363",23.971363,38.0698
4178,Pheia,8,Achaia,,,"An ancient place, cited: BAtlas 58 A2 Pheia",Greece,58 A2,165750,31044,24236,,,,570592,377213UPhe,,,,3563531,,-550,"37.660717,21.311251",21.311251,37.660717
4179,Phelloe,8,Achaia,,,"An ancient place, cited: BAtlas 58 C1 Phelloe",Greece,58 C1,167136,31045,20197,,,,570594,381224PPhe,,,,16473204,,,"38.077545,22.413941",22.413941,38.077545
4180,Phentemin,8,Aegyptus,,,"An ancient place, cited: BAtlas 75 D2 Phentemin",Egypt,75 D2,159344,28601,24238,,,,737006,,,,,,,-30,"29.383139,30.777929",30.777929,29.383139
4181,Pherai,8,Achaia,,,"An Archaic period to Roman period settlement located near Kalamata, Messinia in the Peloponnese.",Greece,58 C3,150140,,,,,,570596,,,,,1571214,,-750,"37.0377582,22.1109392",22.1109392,37.0377582
4182,Pheraia,8,Achaia,,,"An ancient place, cited: BAtlas 58 B2 Pheraia",Greece,58 B2,133565,31046,20198,,,,570597,377218UPhe,,,,16566880,,-550,"37.696919,21.794283",21.794283,37.696919
4183,Phernouphis,8,Aegyptus,,,"An ancient place, cited: BAtlas 74 F2 Phernouphis",Egypt,74 F2,152802,28504,24239,,,,727200,,,,,104845485,,-330,"30.949994,31.516654",31.516654,30.949994
4184,Pheronia,8,Sardinia et Corsica,,,"An ancient place, cited: BAtlas 48 B2 Pheronia",Italy,48 B2,154481,32836,29852,,,,471995,,,,,10710,,-30,"40.633146,9.717501",9.717501,40.633146
4185,Phiara,8,Galatia et Cappadocia,,,"An ancient place, cited: BAtlas 64 D1 Phiara",Türkiye,64 D1,160372,27679,20199,,50443,,629054,,,,34520,10518260,,-30,"39.864116,36.594603",36.594603,39.864116
4186,Phidalia Petra,8,Thracia,,,"An ancient place, cited: BAtlas 53 B2 Phidalia Petra",Türkiye,53 B2,162559,31492,34117,,,,521115,,,,,65051261,,-30,"41.099551,29.050838",29.050838,41.099551
4187,Phiela,8,Bithynia et Pontus,Phiale,,"An ancient place, cited: BAtlas 53 B2 Phiela/Phiale",Türkiye,53 B2,148115,31493,34118,,,,521116,,,,,,,-30,"41.091332,29.067372",29.067372,41.091332
4188,Phikaria,8,Sardinia et Corsica,,,"An ancient place, cited: BAtlas 48 D3 Phikaria",France,48 D3,143327,31225,29853,,,,472112,,,,,,,-330,"41.466887,9.093197",9.093197,41.466887
4189,Phila,8,Macedonia,,,"An ancient place, cited: BAtlas 55 D1 Phila",Greece,55 D1,134504,29440,20200,,,,541045,399226UPhi,,,,1986111,,-550,"39.919918,22.6192",22.6192,39.919918
4190,Philadelpheia,8,Aegyptus,,Gharabet el-Gerza,"An ancient place, cited: BAtlas 75 E2 Philadelpheia",Egypt,75 E2,139216,28602,15517,,,,737008,294310UPhi,,1760,,1535165,,-330,"29.453786,31.08033",31.08033,29.453786
4191,Philadelpheia,8,Cilicia,Philadelpheia?,,"An ancient place, cited: BAtlas 66 C3 Philadelpheia?",Türkiye,66 C3,147824,30316,11446,,,,648736,366330UPhi,,,34707,2085773,,-30,"36.622766,33.0250915",33.0250915,36.622766
4192,Philagris,8,Aegyptus,"Perkethaut, Philagris?",,"An ancient place, cited: BAtlas 75 D2 Perkethaut/Philagris?",Egypt,75 D2,139214,28597,24191,,,,737001,,,,,,,-330,"29.27687,30.607072",30.607072,29.27687
4193,Philaidai,8,Achaia,,,"An ancient place, cited: BAtlas 59 C3 Philaidai",Greece,59 C3,151614,31178,32731,,,,580075,379240DPhi,,,,13526169,,-550,"37.9289315,23.9895485",23.9895485,37.9289315
4194,Philanorion,8,Achaia,,,"An ancient place, cited: BAtlas 58 E2 Philanorion",Greece,58 E2,138184,31047,24242,,,,570601,375231UPhi,,,,108747548,,-550,"37.537127,23.141581",23.141581,37.537127
4195,Philia,8,Thracia,,,"An ancient place, cited: BAtlas 52 D2 Philia",Türkiye,52 D2,149068,23352,33947,,,,511361,413287UPhi,1972,,2181,65051029,,-330,"41.34187915,28.6795713",28.6795713,41.34187915
4196,Philoitos,8,Cyprus,Philoitos?,,"An ancient place, cited: BAtlas 72 C2 Philoitos?",Cyprus,72 C2,167027,28437,24246,,,,707609,351335UPhi,,,,,,-330,"35.078008,33.487928",33.487928,35.078008
4197,Philokaleia,8,Galatia et Cappadocia,,,"An ancient place, cited: BAtlas 87 D3 Philokaleia",Türkiye,87 D3,159279,23453,24247,,,,857278,,2417,,3289,,,-30,"41.034353,38.984957",38.984957,41.034353
4198,Philomelion,8,Asia,,Akşehir,"An ancient place, cited: BAtlas 62 F5 Philomelion",Türkiye,62 F5,134679,21530,24248,,,,609501,384314UPhi,2170,7897,3290,169974,Akşehir,-330,"38.356716,31.429822",31.429822,38.356716
4199,Philosophiana,8,Sicilia,,,"An ancient settlement not far from Piazza Armerina, in the municipality of Mazzarino. Archaeological finds suggest it was inhabited from the early Roman Imperial period to the third century A.D., when it was abandoned.",Italy,47 E4,139486,22543,28751,,,philosophiana,462423,373143UPhi,,,11322,116911932,,-330,"37.3190798213,14.2954461465",14.2954461465,37.3190798213
